"source","start","end","minfrac","interpolated","n_countries","component","n_obs","delta_pp","t","significant","best_year","paris_pctile","rio_pctile"
"Country panel",1990,2020,0.9,FALSE,153,"C/E",31,-0.778,-3.49,TRUE,1993,95.8,NA
"Country panel",1990,2020,0.9,FALSE,153,"E/GDP",31,0.039,0.34,FALSE,2016,29.2,NA
"Country panel",1990,2020,0.95,TRUE,154,"C/GDP",31,-0.739,-2.5,TRUE,2014,91.7,NA
"Country panel",1990,2020,0.95,TRUE,154,"C/E",31,-0.777,-3.48,TRUE,1993,95.8,NA
"Country panel",1990,2020,0.95,TRUE,154,"E/GDP",31,0.039,0.34,FALSE,2016,29.2,NA
"Country panel",1990,2020,0.95,FALSE,153,"C/GDP",31,-0.739,-2.5,TRUE,2014,91.7,NA
"Country panel",1990,2020,0.95,FALSE,153,"C/E",31,-0.778,-3.49,TRUE,1993,95.8,NA
"Country panel",1990,2020,0.95,FALSE,153,"E/GDP",31,0.039,0.34,FALSE,2016,29.2,NA
"Country panel",1990,2020,1,TRUE,153,"C/GDP",31,-0.739,-2.5,TRUE,2014,91.7,NA
"Country panel",1990,2020,1,TRUE,153,"C/E",31,-0.778,-3.49,TRUE,1993,95.8,NA
"Country panel",1990,2020,1,TRUE,153,"E/GDP",31,0.039,0.34,FALSE,2016,29.2,NA
"Country panel",1990,2020,1,FALSE,153,"C/GDP",31,-0.739,-2.5,TRUE,2014,91.7,NA
"Country panel",1990,2020,1,FALSE,153,"C/E",31,-0.778,-3.49,TRUE,1993,95.8,NA
"Country panel",1990,2020,1,FALSE,153,"E/GDP",31,0.039,0.34,FALSE,2016,29.2,NA
"Country panel",1990,2021,0.8,TRUE,161,"C/GDP",32,-0.488,-1.76,FALSE,1993,64,NA
"Country panel",1990,2021,0.8,TRUE,161,"C/E",32,-0.663,-3.27,TRUE,1993,96,NA
"Country panel",1990,2021,0.8,TRUE,161,"E/GDP",32,0.175,1.66,FALSE,2017,92,NA
"Country panel",1990,2021,0.8,FALSE,153,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,0.8,FALSE,153,"C/E",32,-0.666,-3.34,TRUE,1993,96,NA
"Country panel",1990,2021,0.8,FALSE,153,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
"Country panel",1990,2021,0.9,TRUE,161,"C/GDP",32,-0.488,-1.76,FALSE,1993,64,NA
"Country panel",1990,2021,0.9,TRUE,161,"C/E",32,-0.663,-3.27,TRUE,1993,96,NA
"Country panel",1990,2021,0.9,TRUE,161,"E/GDP",32,0.175,1.66,FALSE,2017,92,NA
"Country panel",1990,2021,0.9,FALSE,153,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,0.9,FALSE,153,"C/E",32,-0.666,-3.34,TRUE,1993,96,NA
"Country panel",1990,2021,0.9,FALSE,153,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
"Country panel",1990,2021,0.95,TRUE,154,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,0.95,TRUE,154,"C/E",32,-0.665,-3.33,TRUE,1993,96,NA
"Country panel",1990,2021,0.95,TRUE,154,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
"Country panel",1990,2021,0.95,FALSE,153,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,0.95,FALSE,153,"C/E",32,-0.666,-3.34,TRUE,1993,96,NA
"Country panel",1990,2021,0.95,FALSE,153,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
"Country panel",1990,2021,1,TRUE,153,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,1,TRUE,153,"C/E",32,-0.666,-3.34,TRUE,1993,96,NA
"Country panel",1990,2021,1,TRUE,153,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
"Country panel",1990,2021,1,FALSE,153,"C/GDP",32,-0.517,-1.89,FALSE,1993,68,NA
"Country panel",1990,2021,1,FALSE,153,"C/E",32,-0.666,-3.34,TRUE,1993,96,NA
"Country panel",1990,2021,1,FALSE,153,"E/GDP",32,0.149,1.39,FALSE,2017,92,NA
